metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
WR_DELTA,5,11469,8436,3033,6148.14,5148.14,66694.50,0.0772,349.50,715.00
WR_DELTA,10,11011,8155,2856,6269.15,5269.15,63927.50,0.0824,362.50,716.25
WR_DELTA,15,10521,7840,2681,6563.15,5563.15,60185.00,0.0924,275.00,440.00
WR_DELTA,20,10078,7537,2541,6427.20,5427.20,57875.00,0.0938,275.00,440.00
WR_DELTA,25,9582,7209,2373,6424.80,5424.80,54805.00,0.0990,275.00,440.00
WR_DELTA,30,9143,6909,2234,6527.95,5527.95,51500.00,0.1073,105.00,194.65
WR_DELTA,35,8683,6597,2086,6600.40,5600.40,48445.00,0.1156,105.00,165.00
WR_DELTA,40,8242,6300,1942,6504.90,5504.90,45770.00,0.1203,65.00,136.15
WR_DELTA,45,7780,5986,1794,6472.85,5472.85,43030.00,0.1272,65.00,140.45
WR_DELTA,50,7344,5686,1658,6478.35,5478.35,40165.00,0.1364,65.00,108.90
WR_DELTA,75,5492,4351,1141,5794.25,4794.25,29295.00,0.1637,65.00,102.75
WR_DELTA,100,3855,3130,725,4865.60,3865.60,20220.00,0.1912,25.00,51.95
WR_DELTA,125,2540,2095,445,3742.35,2742.35,13220.00,0.2074,25.00,47.75
WR_DELTA,150,1635,1372,263,2881.20,1881.20,8445.00,0.2228,15.00,39.85
WR_DELTA,200,582,505,77,1779.75,779.75,2970.00,0.2625,10.00,17.40
WR_DELTA,250,176,156,20,1240.90,240.90,890.00,0.2707,10.00,10.00
WR_DELTA,300,44,40,4,1070.10,70.10,220.00,0.3186,5.00,5.00
WR_DELTA,350,12,12,0,1026.05,26.05,60.00,0.4342,5.00,0.00
WR_DELTA,400,3,3,0,1007.00,7.00,15.00,0.4667,5.00,0.00
GPM,200,2220,1401,819,0.00,-1000.00,15889.95,-0.0629,275.00,1002.90
GPM,400,624,410,214,745.20,-254.80,4185.00,-0.0609,105.00,373.45
GPM,600,76,50,26,987.80,-12.20,435.00,-0.0280,15.00,48.15
GPM,800,7,3,4,985.35,-14.65,35.00,-0.4186,5.00,15.50
GPM,1000,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
GPM,1200,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
XPM,200,2179,1357,822,0.00,-1000.00,14353.45,-0.0697,105.00,1001.60
XPM,400,535,342,193,520.60,-479.40,4255.00,-0.1127,170.00,511.85
XPM,600,46,30,16,988.95,-11.05,270.00,-0.0409,15.00,32.45
XPM,800,3,2,1,997.85,-2.15,15.00,-0.1433,5.00,5.00
XPM,1000,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
XPM,1200,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
HERO_DAMAGE,5000,2303,1423,880,0.00,-1000.00,16672.86,-0.0600,105.00,1009.50
HERO_DAMAGE,10000,1976,1196,780,0.00,-1000.00,14366.82,-0.0696,105.00,1012.90
HERO_DAMAGE,15000,1209,712,497,0.00,-1000.00,9677.05,-0.1033,105.00,1004.50
HERO_DAMAGE,20000,1148,684,464,261.90,-738.10,7880.00,-0.0937,65.00,746.90
HERO_DAMAGE,25000,509,297,212,374.30,-625.70,4400.00,-0.1422,170.00,652.10
TOWER_DAMAGE,5000,3713,2408,1305,0.00,-1000.00,25071.73,-0.0399,105.00,1046.85
TOWER_DAMAGE,10000,925,594,331,724.55,-275.45,5735.00,-0.0480,40.00,309.35
TOWER_DAMAGE,15000,99,65,34,985.45,-14.55,565.00,-0.0258,25.00,60.05
TOWER_DAMAGE,20000,2,2,0,1003.85,3.85,10.00,0.3850,5.00,0.00
TOWER_DAMAGE,25000,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
DAMAGE_TAKEN,10000,1859,1128,731,0.00,-1000.00,12828.87,-0.0779,105.00,1001.45
DAMAGE_TAKEN,20000,1557,945,612,0.00,-1000.00,11709.20,-0.0854,275.00,1002.60
DAMAGE_TAKEN,30000,21,6,15,0.00,-1000.00,1668.73,-0.5993,275.00,1003.70
DAMAGE_TAKEN,40000,1320,836,484,335.55,-664.45,9615.00,-0.0691,65.00,680.40
DAMAGE_TAKEN,50000,739,488,251,811.90,-188.10,4970.00,-0.0378,65.00,261.60
TEAM_PARTICIPATION,5,239,155,84,918.70,-81.30,1620.00,-0.0502,40.00,144.10
TEAM_PARTICIPATION,10,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
TEAM_PARTICIPATION,15,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
TEAM_PARTICIPATION,20,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
TEAM_PARTICIPATION,25,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
