metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
WR_DELTA,5,11469,8436,3033,8496845.37,8495845.37,95735047.46,0.0887,10000.00,182400.00
WR_DELTA,10,11011,8155,2856,8917463.29,8916463.29,92531094.18,0.0964,10000.00,154000.00
WR_DELTA,15,10521,7840,2681,9189816.20,9188816.20,89045816.81,0.1032,10000.00,140200.00
WR_DELTA,20,10078,7537,2541,9142208.97,9141208.97,85324471.19,0.1071,10000.00,128400.00
WR_DELTA,25,9582,7209,2373,9200425.41,9199425.41,81386414.34,0.1130,10000.00,129500.00
WR_DELTA,30,9143,6909,2234,9171430.95,9170430.95,78051866.76,0.1175,10000.00,109500.00
WR_DELTA,35,8683,6597,2086,9221982.43,9220982.43,74069175.49,0.1245,10000.00,135300.00
WR_DELTA,40,8242,6300,1942,9236428.62,9235428.62,70331189.33,0.1313,10000.00,140900.00
WR_DELTA,45,7780,5986,1794,9200443.65,9199443.65,66230742.98,0.1389,10000.00,143400.00
WR_DELTA,50,7344,5686,1658,9192131.59,9191131.59,62657433.69,0.1467,10000.00,98900.00
WR_DELTA,75,5492,4351,1141,7935244.08,7934244.08,45621468.86,0.1739,10000.00,68800.00
WR_DELTA,100,3855,3130,725,6347508.63,6346508.63,31758061.62,0.1998,10000.00,66100.00
WR_DELTA,125,2540,2095,445,4351554.96,4350554.96,19675743.27,0.2211,10000.00,45200.00
WR_DELTA,150,1635,1372,263,2673515.49,2672515.49,11746814.59,0.2275,10000.00,49400.00
WR_DELTA,200,582,505,77,591471.36,590471.36,2124033.91,0.2780,10000.00,20000.00
WR_DELTA,250,176,156,20,10025.49,9025.49,32884.71,0.2745,491.93,509.53
WR_DELTA,300,44,40,4,1981.47,981.47,3032.03,0.3237,95.96,83.44
WR_DELTA,350,12,12,0,1293.11,293.11,681.39,0.4302,62.62,0.00
WR_DELTA,400,3,3,0,1071.52,71.52,152.44,0.4692,51.89,0.00
GPM,200,3605,2311,1294,0.00,-1000.00,12117.57,-0.0825,51.45,1029.00
GPM,400,624,410,214,137.51,-862.49,20511.26,-0.0420,97.92,1846.34
GPM,600,76,50,26,799.12,-200.88,4218.16,-0.0476,66.37,538.63
GPM,800,7,3,4,858.80,-141.20,336.86,-0.4192,50.43,149.70
GPM,1000,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
GPM,1200,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
XPM,200,3385,2121,1264,0.00,-1000.00,10519.83,-0.0951,50.70,1014.00
XPM,400,535,342,193,121.14,-878.86,12051.01,-0.0729,50.55,903.30
XPM,600,46,30,16,850.43,-149.57,2389.55,-0.0626,59.49,343.56
XPM,800,3,2,1,977.24,-22.76,148.33,-0.1535,50.43,50.42
XPM,1000,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
XPM,1200,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
HERO_DAMAGE,5000,7266,4521,2745,0.00,-1000.00,6675.22,-0.1498,54.90,1098.03
HERO_DAMAGE,10000,4446,2750,1696,0.00,-1000.00,10158.62,-0.0984,56.77,1135.36
HERO_DAMAGE,15000,2417,1468,949,0.00,-1000.00,12638.42,-0.0791,52.27,1045.37
HERO_DAMAGE,20000,1148,684,464,0.39,-999.61,7759.13,-0.1288,50.55,1010.63
HERO_DAMAGE,25000,509,297,212,19.20,-980.80,6479.81,-0.1514,50.00,981.51
TOWER_DAMAGE,5000,4334,2815,1519,0.00,-1000.00,21281.71,-0.0470,70.77,1415.36
TOWER_DAMAGE,10000,925,594,331,27.12,-972.88,15523.95,-0.0627,60.41,1181.65
TOWER_DAMAGE,15000,99,65,34,745.07,-254.93,4016.74,-0.0635,53.52,427.74
TOWER_DAMAGE,20000,2,2,0,1038.76,38.76,101.50,0.3818,51.50,0.00
TOWER_DAMAGE,25000,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
DAMAGE_TAKEN,10000,7302,4613,2689,0.00,-1000.00,5288.87,-0.1891,50.00,1000.00
DAMAGE_TAKEN,20000,4324,2716,1608,0.00,-1000.00,6712.46,-0.1490,51.30,1026.00
DAMAGE_TAKEN,30000,2439,1534,905,0.03,-999.97,6688.74,-0.1495,51.86,1037.26
DAMAGE_TAKEN,40000,1320,836,484,5.18,-994.82,8762.29,-0.1135,51.30,1021.03
DAMAGE_TAKEN,50000,739,488,251,220.99,-779.01,14809.16,-0.0526,50.00,830.87
TEAM_PARTICIPATION,5,239,155,84,519.09,-480.91,9967.38,-0.0482,60.06,802.93
TEAM_PARTICIPATION,10,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
TEAM_PARTICIPATION,15,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
TEAM_PARTICIPATION,20,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
TEAM_PARTICIPATION,25,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
