metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
WR_DELTA,5,1131,859,272,22312.00,21312.00,56550.00,0.3769,50.00,231.00
WR_DELTA,10,1131,859,272,22312.00,21312.00,56550.00,0.3769,50.00,231.00
WR_DELTA,15,1131,859,272,22312.00,21312.00,56550.00,0.3769,50.00,231.00
WR_DELTA,20,1131,859,272,22312.00,21312.00,56550.00,0.3769,50.00,231.00
WR_DELTA,25,1131,859,272,22312.00,21312.00,56550.00,0.3769,50.00,231.00
WR_DELTA,30,1131,859,272,22312.00,21312.00,56550.00,0.3769,50.00,231.00
WR_DELTA,35,1131,859,272,22312.00,21312.00,56550.00,0.3769,50.00,231.00
WR_DELTA,40,1131,859,272,22312.00,21312.00,56550.00,0.3769,50.00,231.00
WR_DELTA,45,1130,858,272,22294.00,21294.00,56500.00,0.3769,50.00,231.00
WR_DELTA,50,1130,858,272,22294.00,21294.00,56500.00,0.3769,50.00,231.00
WR_DELTA,75,1123,853,270,22028.50,21028.50,56150.00,0.3745,50.00,231.00
WR_DELTA,100,1089,835,254,22010.00,21010.00,54450.00,0.3859,50.00,231.00
WR_DELTA,125,985,765,220,21229.00,20229.00,49250.00,0.4107,50.00,214.00
WR_DELTA,150,836,659,177,18954.50,17954.50,41800.00,0.4295,50.00,257.50
WR_DELTA,200,429,356,73,11927.50,10927.50,21450.00,0.5094,50.00,184.00
WR_DELTA,250,177,153,24,6273.00,5273.00,8850.00,0.5958,50.00,176.50
WR_DELTA,300,51,47,4,2972.50,1972.50,2550.00,0.7735,50.00,50.00
WR_DELTA,350,16,16,0,1769.50,769.50,800.00,0.9619,50.00,0.00
WR_DELTA,400,3,3,0,1070.00,70.00,150.00,0.4667,50.00,0.00
GPM,200,232,166,66,3781.50,2781.50,11600.00,0.2398,50.00,289.50
GPM,400,47,35,12,1797.50,797.50,2350.00,0.3394,50.00,100.00
GPM,600,7,6,1,1152.50,152.50,350.00,0.4357,50.00,50.00
GPM,800,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
GPM,1000,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
GPM,1200,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
XPM,200,160,121,39,4055.00,3055.00,8000.00,0.3819,50.00,200.00
XPM,400,24,19,5,1631.50,631.50,1200.00,0.5262,50.00,100.00
XPM,600,1,0,1,950.00,-50.00,50.00,-1.0000,50.00,50.00
XPM,800,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
XPM,1000,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
XPM,1200,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
HERO_DAMAGE,5000,294,213,81,5777.50,4777.50,14700.00,0.3250,50.00,313.00
HERO_DAMAGE,10000,158,112,46,3006.00,2006.00,7900.00,0.2539,50.00,250.00
HERO_DAMAGE,15000,73,51,22,2042.00,1042.00,3650.00,0.2855,50.00,144.00
HERO_DAMAGE,20000,32,22,10,1500.50,500.50,1600.00,0.3128,50.00,150.00
HERO_DAMAGE,25000,10,7,3,1188.00,188.00,500.00,0.3760,50.00,100.00
TOWER_DAMAGE,5000,339,252,87,6266.50,5266.50,16950.00,0.3107,50.00,311.50
TOWER_DAMAGE,10000,85,64,21,2382.50,1382.50,4250.00,0.3253,50.00,150.00
TOWER_DAMAGE,15000,15,9,6,1069.00,69.00,750.00,0.0920,50.00,180.00
TOWER_DAMAGE,20000,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
TOWER_DAMAGE,25000,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
DAMAGE_TAKEN,10000,297,240,57,7772.50,6772.50,14850.00,0.4561,50.00,217.50
DAMAGE_TAKEN,20000,170,139,31,5010.50,4010.50,8500.00,0.4718,50.00,103.00
DAMAGE_TAKEN,30000,85,72,13,3441.50,2441.50,4250.00,0.5745,50.00,114.00
DAMAGE_TAKEN,40000,48,39,9,2122.50,1122.50,2400.00,0.4677,50.00,100.00
DAMAGE_TAKEN,50000,30,23,7,1504.50,504.50,1500.00,0.3363,50.00,221.00
TEAM_PARTICIPATION,5,24,19,5,1778.50,778.50,1200.00,0.6488,50.00,150.00
TEAM_PARTICIPATION,10,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
TEAM_PARTICIPATION,15,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
TEAM_PARTICIPATION,20,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
TEAM_PARTICIPATION,25,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
