metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
WR_DELTA,5,9334,4490,4844,175549.00,174549.00,933400.00,0.1870,100.00,2748.00
WR_DELTA,10,541,215,326,0.00,-1000.00,54022.00,-0.0185,100.00,3057.00
WR_DELTA,15,526,209,317,0.00,-1000.00,52467.70,-0.0191,100.00,3048.00
WR_DELTA,20,328,130,198,0.00,-1000.00,32710.00,-0.0306,100.00,3016.00
WR_DELTA,25,305,121,184,0.00,-1000.00,30464.00,-0.0328,100.00,2906.00
WR_DELTA,30,283,112,171,0.00,-1000.00,28212.18,-0.0354,100.00,2926.00
WR_DELTA,35,273,108,165,0.00,-1000.00,27281.00,-0.0367,100.00,2679.00
WR_DELTA,40,6403,3278,3125,165830.00,164830.00,640300.00,0.2574,100.00,2145.00
WR_DELTA,45,243,96,147,0.00,-1000.00,24238.00,-0.0413,100.00,2206.00
WR_DELTA,50,5694,2966,2728,159336.00,158336.00,569400.00,0.2781,100.00,1843.00
WR_DELTA,75,4093,2272,1821,147105.00,146105.00,409300.00,0.3570,100.00,1522.00
WR_DELTA,100,2678,1572,1106,117516.00,116516.00,267800.00,0.4351,100.00,1757.00
WR_DELTA,125,1718,1070,648,89914.00,88914.00,171800.00,0.5175,100.00,1722.00
WR_DELTA,150,1021,681,340,64902.00,63902.00,102100.00,0.6259,100.00,1370.00
WR_DELTA,200,326,243,83,28240.00,27240.00,32600.00,0.8356,100.00,400.00
WR_DELTA,250,98,76,22,10806.00,9806.00,9800.00,1.0006,100.00,300.00
WR_DELTA,300,26,22,4,3953.00,2953.00,2600.00,1.1358,100.00,100.00
WR_DELTA,350,8,8,0,2279.00,1279.00,800.00,1.5987,100.00,0.00
WR_DELTA,400,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
GPM,200,35,11,24,0.00,-1000.00,3450.56,-0.2898,100.00,1109.00
GPM,400,13,1,12,0.00,-1000.00,1247.00,-0.8019,100.00,1147.00
GPM,600,51,21,30,723.00,-277.00,5100.00,-0.0543,100.00,755.00
GPM,800,7,1,6,487.00,-513.00,700.00,-0.7329,100.00,513.00
GPM,1000,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
GPM,1200,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
XPM,200,37,12,25,0.00,-1000.00,3557.60,-0.2811,100.00,1047.00
XPM,400,10,0,10,0.00,-1000.00,1000.00,-1.0000,100.00,1000.00
XPM,600,42,14,28,0.00,-1000.00,4155.00,-0.2407,100.00,1000.00
XPM,800,2,1,1,987.00,-13.00,200.00,-0.0650,100.00,100.00
XPM,1000,1,0,1,900.00,-100.00,100.00,-1.0000,100.00,100.00
XPM,1200,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
HERO_DAMAGE,5000,43,13,30,0.00,-1000.00,4213.00,-0.2374,100.00,1109.00
HERO_DAMAGE,10000,45,15,30,0.00,-1000.00,4436.00,-0.2254,100.00,1080.00
HERO_DAMAGE,15000,30,8,22,0.00,-1000.00,2913.28,-0.3433,100.00,1047.00
HERO_DAMAGE,20000,20,4,16,0.00,-1000.00,1982.00,-0.5045,100.00,1147.00
HERO_DAMAGE,25000,23,4,19,0.00,-1000.00,2244.00,-0.4456,100.00,1147.00
TOWER_DAMAGE,5000,145,58,87,0.00,-1000.00,14420.60,-0.0693,100.00,2214.00
TOWER_DAMAGE,10000,61,22,39,0.00,-1000.00,6098.00,-0.1640,100.00,1590.00
TOWER_DAMAGE,15000,35,11,24,0.00,-1000.00,3408.00,-0.2934,100.00,1459.00
TOWER_DAMAGE,20000,5,2,3,957.00,-43.00,500.00,-0.0860,100.00,300.00
TOWER_DAMAGE,25000,1,0,1,900.00,-100.00,100.00,-1.0000,100.00,100.00
DAMAGE_TAKEN,10000,44,14,30,0.00,-1000.00,4340.24,-0.2304,100.00,1147.00
DAMAGE_TAKEN,20000,38,11,27,0.00,-1000.00,3752.49,-0.2665,100.00,1000.00
DAMAGE_TAKEN,30000,19,4,15,0.00,-1000.00,1786.22,-0.5598,100.00,1000.00
DAMAGE_TAKEN,40000,14,1,13,0.00,-1000.00,1379.00,-0.7252,100.00,1000.00
DAMAGE_TAKEN,50000,84,30,54,0.00,-1000.00,8240.80,-0.1213,100.00,1258.00
TEAM_PARTICIPATION,5,128,52,76,0.00,-1000.00,12760.00,-0.0784,100.00,1872.00
TEAM_PARTICIPATION,10,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
TEAM_PARTICIPATION,15,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
TEAM_PARTICIPATION,20,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
TEAM_PARTICIPATION,25,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
