metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
GPM,100,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
GPM,200,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
GPM,300,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
GPM,400,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
GPM,500,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
XPM,100,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
XPM,200,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
XPM,300,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
XPM,400,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
XPM,500,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
HERO_DAMAGE,5000,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
HERO_DAMAGE,10000,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
HERO_DAMAGE,15000,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
HERO_DAMAGE,20000,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
HERO_DAMAGE,25000,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
TOWER_DAMAGE,5000,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
TOWER_DAMAGE,10000,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
TOWER_DAMAGE,15000,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
TOWER_DAMAGE,20000,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
TOWER_DAMAGE,25000,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
DAMAGE_TAKEN,10000,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
DAMAGE_TAKEN,20000,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
DAMAGE_TAKEN,30000,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
DAMAGE_TAKEN,40000,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
DAMAGE_TAKEN,50000,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
TEAM_PARTICIPATION,1,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
TEAM_PARTICIPATION,2,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
TEAM_PARTICIPATION,3,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
TEAM_PARTICIPATION,4,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
TEAM_PARTICIPATION,5,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
