metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
GPM,100,149,101,48,1131.15,131.15,186.00,0.7051,8.00,12.00
GPM,200,83,56,27,1063.90,63.90,94.00,0.6798,3.00,4.00
GPM,300,44,32,12,1042.82,42.82,49.00,0.8739,3.00,4.00
GPM,400,19,15,4,1017.29,17.29,19.00,0.9100,1.00,1.00
GPM,500,7,4,3,1004.24,4.24,7.00,0.6057,1.00,1.00
XPM,100,124,81,43,1102.76,102.76,153.00,0.6716,8.00,12.00
XPM,200,60,39,21,1045.83,45.83,66.00,0.6944,3.00,4.00
XPM,300,27,20,7,1029.51,29.51,29.00,1.0176,2.00,2.00
XPM,400,13,11,2,1019.75,19.75,14.00,1.4107,2.00,2.00
XPM,500,3,3,0,1005.14,5.14,3.00,1.7133,1.00,0.00
HERO_DAMAGE,5000,127,84,43,1099.72,99.72,186.00,0.5361,13.00,19.00
HERO_DAMAGE,10000,75,49,26,1060.72,60.72,91.00,0.6673,5.00,7.00
HERO_DAMAGE,15000,40,30,10,1039.53,39.53,44.00,0.8984,3.00,4.00
HERO_DAMAGE,20000,19,16,3,1022.37,22.37,20.00,1.1185,2.00,2.00
HERO_DAMAGE,25000,8,8,0,1013.13,13.13,8.00,1.6413,1.00,0.00
TOWER_DAMAGE,5000,96,67,29,1078.90,78.90,105.00,0.7514,3.00,4.00
TOWER_DAMAGE,10000,16,14,2,1017.50,17.50,16.00,1.0937,1.00,1.00
TOWER_DAMAGE,15000,1,1,0,1000.92,0.92,1.00,0.9200,1.00,0.00
TOWER_DAMAGE,20000,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
TOWER_DAMAGE,25000,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
DAMAGE_TAKEN,10000,120,88,32,1108.44,108.44,128.00,0.8472,3.00,4.00
DAMAGE_TAKEN,20000,56,47,9,1058.00,58.00,57.00,1.0175,2.00,2.00
DAMAGE_TAKEN,30000,29,26,3,1032.84,32.84,29.00,1.1324,1.00,1.00
DAMAGE_TAKEN,40000,18,16,2,1019.57,19.57,18.00,1.0872,1.00,1.00
DAMAGE_TAKEN,50000,10,9,1,1012.18,12.18,10.00,1.2180,1.00,1.00
TEAM_PARTICIPATION,1,165,113,52,1139.55,139.55,186.00,0.7503,3.00,4.00
TEAM_PARTICIPATION,2,111,83,28,1103.50,103.50,117.00,0.8846,3.00,4.00
TEAM_PARTICIPATION,3,65,50,15,1061.26,61.26,66.00,0.9282,2.00,2.00
TEAM_PARTICIPATION,4,20,15,5,1018.32,18.32,21.00,0.8724,2.00,2.00
TEAM_PARTICIPATION,5,11,9,2,1011.93,11.93,11.00,1.0845,1.00,1.00
