metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
GPM,100,149,101,48,6348.50,5348.50,7450.00,0.7179,50.00,250.00
GPM,200,83,56,27,3730.50,2730.50,4150.00,0.6580,50.00,150.00
GPM,300,44,32,12,2897.00,1897.00,2200.00,0.8623,50.00,150.00
GPM,400,19,15,4,1864.50,864.50,950.00,0.9100,50.00,50.00
GPM,500,7,4,3,1212.00,212.00,350.00,0.6057,50.00,50.00
XPM,100,124,81,43,5182.50,4182.50,6200.00,0.6746,50.00,250.00
XPM,200,60,39,21,3158.00,2158.00,3000.00,0.7193,50.00,150.00
XPM,300,27,20,7,2365.00,1365.00,1350.00,1.0111,50.00,100.00
XPM,400,13,11,2,1929.50,929.50,650.00,1.4300,50.00,100.00
XPM,500,3,3,0,1257.00,257.00,150.00,1.7133,50.00,0.00
HERO_DAMAGE,5000,127,84,43,5138.00,4138.00,6350.00,0.6517,50.00,371.00
HERO_DAMAGE,10000,75,49,26,3533.50,2533.50,3750.00,0.6756,50.00,241.50
HERO_DAMAGE,15000,40,30,10,2840.00,1840.00,2000.00,0.9200,50.00,150.00
HERO_DAMAGE,20000,19,16,3,2066.00,1066.00,950.00,1.1221,50.00,100.00
HERO_DAMAGE,25000,8,8,0,1656.50,656.50,400.00,1.6413,50.00,0.00
TOWER_DAMAGE,5000,96,67,29,4447.50,3447.50,4800.00,0.7182,50.00,150.00
TOWER_DAMAGE,10000,16,14,2,1875.00,875.00,800.00,1.0938,50.00,50.00
TOWER_DAMAGE,15000,1,1,0,1046.00,46.00,50.00,0.9200,50.00,0.00
TOWER_DAMAGE,20000,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
TOWER_DAMAGE,25000,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
DAMAGE_TAKEN,10000,120,88,32,5960.50,4960.50,6000.00,0.8267,50.00,150.00
DAMAGE_TAKEN,20000,56,47,9,3849.00,2849.00,2800.00,1.0175,50.00,100.00
DAMAGE_TAKEN,30000,29,26,3,2642.00,1642.00,1450.00,1.1324,50.00,50.00
DAMAGE_TAKEN,40000,18,16,2,1978.50,978.50,900.00,1.0872,50.00,50.00
DAMAGE_TAKEN,50000,10,9,1,1609.00,609.00,500.00,1.2180,50.00,50.00
TEAM_PARTICIPATION,1,165,113,52,6822.00,5822.00,8250.00,0.7057,50.00,150.00
TEAM_PARTICIPATION,2,111,83,28,5882.50,4882.50,5550.00,0.8797,50.00,150.00
TEAM_PARTICIPATION,3,65,50,15,4002.00,3002.00,3250.00,0.9237,50.00,100.00
TEAM_PARTICIPATION,4,20,15,5,1831.00,831.00,1000.00,0.8310,50.00,100.00
TEAM_PARTICIPATION,5,11,9,2,1596.50,596.50,550.00,1.0845,50.00,50.00
