metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
GPM,100,456,360,96,9762.50,8762.50,22800.00,0.3843,50.00,277.50
GPM,200,249,196,53,5709.50,4709.50,12450.00,0.3783,50.00,270.50
GPM,300,123,101,22,4040.50,3040.50,6150.00,0.4944,50.00,220.50
GPM,400,52,45,7,2369.50,1369.50,2600.00,0.5267,50.00,70.50
GPM,500,16,13,3,1378.50,378.50,800.00,0.4731,50.00,50.00
XPM,100,353,273,80,7779.00,6779.00,17650.00,0.3841,50.00,248.00
XPM,200,183,142,41,4508.50,3508.50,9150.00,0.3834,50.00,220.50
XPM,300,71,58,13,2908.50,1908.50,3550.00,0.5376,50.00,100.00
XPM,400,27,24,3,2119.00,1119.00,1350.00,0.8289,50.00,81.00
XPM,500,6,6,0,1327.50,327.50,300.00,1.0917,50.00,0.00
HERO_DAMAGE,5000,331,253,78,7316.50,6316.50,16550.00,0.3817,50.00,320.50
HERO_DAMAGE,10000,193,149,44,5009.50,4009.50,9650.00,0.4155,50.00,241.50
HERO_DAMAGE,15000,95,79,16,3628.50,2628.50,4750.00,0.5534,50.00,200.00
HERO_DAMAGE,20000,40,34,6,2347.50,1347.50,2000.00,0.6737,50.00,100.00
HERO_DAMAGE,25000,16,14,2,1705.50,705.50,800.00,0.8819,50.00,50.00
TOWER_DAMAGE,5000,306,248,58,7089.50,6089.50,15300.00,0.3980,50.00,202.50
TOWER_DAMAGE,10000,61,54,7,2457.00,1457.00,3050.00,0.4777,50.00,50.00
TOWER_DAMAGE,15000,6,5,1,1083.00,83.00,300.00,0.2767,50.00,50.00
TOWER_DAMAGE,20000,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
TOWER_DAMAGE,25000,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
DAMAGE_TAKEN,10000,310,254,56,8276.50,7276.50,15500.00,0.4695,50.00,146.50
DAMAGE_TAKEN,20000,171,147,24,5247.00,4247.00,8550.00,0.4967,50.00,100.00
DAMAGE_TAKEN,30000,93,81,12,3363.00,2363.00,4650.00,0.5082,50.00,100.50
DAMAGE_TAKEN,40000,57,48,9,2316.50,1316.50,2850.00,0.4619,50.00,100.00
DAMAGE_TAKEN,50000,35,29,6,1752.00,752.00,1750.00,0.4297,50.00,100.00
TEAM_PARTICIPATION,1,398,305,93,9350.50,8350.50,19900.00,0.4196,50.00,282.50
TEAM_PARTICIPATION,2,260,206,54,7492.50,6492.50,13000.00,0.4994,50.00,217.00
TEAM_PARTICIPATION,3,147,116,31,4794.50,3794.50,7350.00,0.5163,50.00,119.00
TEAM_PARTICIPATION,4,49,39,10,2136.00,1136.00,2450.00,0.4637,50.00,125.50
TEAM_PARTICIPATION,5,18,14,4,1642.00,642.00,900.00,0.7133,50.00,100.00
