metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
GPM,100,301,255,46,1070.85,70.85,311.00,0.2278,2.00,3.45
GPM,200,161,136,25,1039.73,39.73,166.00,0.2393,2.00,2.60
GPM,300,76,67,9,1022.55,22.55,77.00,0.2929,2.00,2.60
GPM,400,33,30,3,1010.10,10.10,33.00,0.3061,1.00,1.00
GPM,500,9,9,0,1003.33,3.33,9.00,0.3700,1.00,0.00
XPM,100,223,188,35,1053.68,53.68,230.00,0.2334,2.00,2.58
XPM,200,120,100,20,1025.66,25.66,122.00,0.2103,2.00,2.18
XPM,300,43,37,6,1010.01,10.01,43.00,0.2328,1.00,1.42
XPM,400,14,13,1,1003.79,3.79,14.00,0.2707,1.00,1.00
XPM,500,3,3,0,1001.41,1.41,3.00,0.4700,1.00,0.00
HERO_DAMAGE,5000,195,165,30,1048.20,48.20,201.00,0.2398,2.00,2.35
HERO_DAMAGE,10000,115,98,17,1029.15,29.15,120.00,0.2429,3.00,4.39
HERO_DAMAGE,15000,55,49,6,1016.49,16.49,57.00,0.2893,2.00,2.00
HERO_DAMAGE,20000,21,18,3,1005.80,5.80,22.00,0.2636,2.00,2.00
HERO_DAMAGE,25000,8,6,2,1000.98,0.98,8.00,0.1225,1.00,1.72
TOWER_DAMAGE,5000,205,178,27,1052.25,52.25,206.00,0.2536,2.00,2.00
TOWER_DAMAGE,10000,44,40,4,1012.64,12.64,44.00,0.2873,1.00,1.00
TOWER_DAMAGE,15000,5,4,1,1000.74,0.74,5.00,0.1480,1.00,1.00
TOWER_DAMAGE,20000,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
TOWER_DAMAGE,25000,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
DAMAGE_TAKEN,10000,186,163,23,1046.27,46.27,190.00,0.2435,2.00,2.00
DAMAGE_TAKEN,20000,111,97,14,1026.85,26.85,112.00,0.2397,2.00,2.00
DAMAGE_TAKEN,30000,63,54,9,1013.74,13.74,64.00,0.2147,2.00,2.00
DAMAGE_TAKEN,40000,38,31,7,1006.21,6.21,39.00,0.1592,2.00,3.31
DAMAGE_TAKEN,50000,25,20,5,1003.18,3.18,26.00,0.1223,2.00,3.31
TEAM_PARTICIPATION,1,221,185,36,1049.68,49.68,238.00,0.2087,5.00,8.70
TEAM_PARTICIPATION,2,141,119,22,1033.94,33.94,144.00,0.2357,2.00,3.85
TEAM_PARTICIPATION,3,76,63,13,1017.00,17.00,77.00,0.2208,2.00,2.61
TEAM_PARTICIPATION,4,27,23,4,1006.74,6.74,28.00,0.2407,2.00,2.00
TEAM_PARTICIPATION,5,6,4,2,1000.58,0.58,7.00,0.0829,2.00,2.00
